,Rang,SkipperBateauHeureFR,Depuis30minutesCap,DepuisledernierclassementCap,Depuis24heuresCap,Nat,Voile,Skipper,Bateau,DateTime,DTF_nm,DTL_nm,24h_dist_nm,24h_vitesse_kts,24h_vmg_kts,classement_dist_nm,classement_vitesse_kts,classement_vmg_kts,30min_dist_nm,30min_vitesse_kts,30min_vmg_kts,Latitude,Longitude,Date,nom,Numéro de voile,Anciens noms du bateau,Architecte,Chantier,Longueur,Largeur,Tirant d'eau,Déplacement (poids),Hauteur mât,Voile quille,Surface de voiles au près,Foils,Year_launched
0,1,15:30,241°,357°,201°,FRA,18,Louis Burton,bureau vallée 2,2020-11-08 14:00:00,24293.9,0.0,6.1,0.3,0.3,2788.0,0.0,0.0,0.3,17.7,17.5,46.407666666666664,-1.8413333333333333,2020-11-08,bureau vallee 2,18.0,banque populaire viii,verdier - vplp,cdk technologies,18.28,5.8,4.5,7.6,28.0,acier,300.0,foils,2015
1,2,15:31,241°,357°,196°,MON,10,Boris Herrmann,seaexplorer - yacht club de monaco,2020-11-08 14:00:00,24294.2,0.4,6.0,0.3,0.2,2787.9,0.0,0.0,0.4,11.1,10.9,46.40566666666667,-1.8303333333333334,2020-11-08,seaexplorer - yacht club de monaco,10.0,"edmond de rothschild, malizia - yacht club de monaco",verdier - vplp,multiplast,18.28,5.7,4.5,7.6,29.0,acier,290.0,foils,2015
2,3,15:30,244°,357°,199°,FRA,8,Jérémie Beyou,charal,2020-11-08 14:00:00,24294.3,0.5,5.5,0.2,0.2,2788.5,0.0,0.0,0.5,15.5,15.5,46.415166666666664,-1.8331666666666666,2020-11-08,charal,8.0,,vplp,cdk technologies,18.28,5.85,4.5,8.0,29.0,acier,320.0,foils,2018
3,4,15:30,244°,357°,196°,FRA,59,Thomas Ruyant,linkedout,2020-11-08 14:00:00,24294.5,0.6,5.6,0.2,0.2,2788.3,0.0,0.0,0.7,13.2,13.1,46.411833333333334,-1.8279999999999998,2020-11-08,linkedout,59.0,,verdier,persico,18.28,5.85,4.5,8.0,29.0,acier,350.0,foils,2019
4,5,15:30,246°,357°,195°,FRA,53,Maxime Sorel,v and b mayenne,2020-11-08 14:00:00,24294.5,0.6,5.8,0.8,0.7,2788.1,0.0,0.0,0.2,10.9,10.9,46.40983333333333,-1.826,2020-11-08,v and b-mayenne,53.0,"le souffle du nord, groupe bel",verdier - vplp,"indiana yachting (scarlino, italie)",18.28,5.5,4.5,7.7,29.0,acier,365.0,no foils,2007
5,6,15:31,238°,357°,200°,FRA,56,Fabrice Amedeo,newrest - art et fenetres,2020-11-08 14:00:00,24294.5,0.7,5.3,0.2,0.2,2788.7,0.0,0.0,0.6,16.9,16.9,46.41983333333334,-1.8311666666666666,2020-11-08,newrest - art & fenêtres,56.0,"no way back, vento di sardegna",vplp/verdier,persico marine,18.28,5.85,4.5,7.0,29.0,monotype,320.0,foils,2015
6,7,15:30,247°,357°,196°,FRA,1,Jean Le Cam,yes we cam !,2020-11-08 14:00:00,24294.7,0.8,5.5,0.2,0.2,2788.4,0.0,0.0,0.2,10.7,10.7,46.415,-1.8248333333333333,2020-11-08,yes we cam!,1.0,"cheminées poujoulat, mare, maître coq, mapfre, foncia",bruce farr design,cdk technologies,18.28,5.9,4.5,8.0,28.0,acier,300.0,no foils,2007
7,8,15:30,238°,357°,196°,GBR,99,Alex Thomson,hugo boss,2020-11-08 14:00:00,24294.8,1.0,5.2,0.2,0.2,2788.7,0.0,0.0,1.1,13.8,13.7,46.42016666666667,-1.8241666666666667,2020-11-08,hugo boss,99.0,,vplp - alex thomson racing (led by pete hobson),carrington boats,18.28,5.4,4.5,7.7,29.0,acier,330.0,foils,2019
8,9,15:31,245°,357°,195°,FRA,69,Sébastien Destremau,merci,2020-11-08 14:00:00,24294.8,1.0,5.3,0.2,0.2,2788.6,0.0,0.0,0.3,9.6,9.6,46.41733333333333,-1.822,2020-11-08,merci,69.0,"foresight natural energy, maisonneuve",lavanos,artech do brasil,18.28,5.6,4.5,8.5,29.0,acier,250.0,no foils,2005
9,10,15:31,245°,357°,196°,GBR,777,Pip Hare,medallia,2020-11-08 14:00:00,24294.9,1.0,5.1,0.2,0.2,2788.8,0.0,0.0,0.4,12.7,12.7,46.42033333333333,-1.8226666666666667,2020-11-08,medallia,777.0,"armor lux, we are water, la fabrique",pierre rolland,bernard stamm,18.28,5.7,4.5,9.0,29.0,carbone,300.0,no foils,1999
10,11,15:31,235°,357°,194°,FRA,85,Kevin Escoffier,prb,2020-11-08 14:00:00,24294.9,1.1,5.1,0.2,0.2,2788.7,0.0,0.0,0.5,13.8,13.6,46.419,-1.8203333333333334,2020-11-08,prb,85.0,,verdier - vplp,cdk technologies,18.28,5.5,4.5,,27.4,acier,300.0,foils,2010
11,12,15:30,242°,357°,194°,FRA,92,Stéphane Le Diraison,time for oceans,2020-11-08 14:00:00,24294.9,1.1,5.3,0.2,0.2,2788.6,0.0,0.0,0.2,13.1,13.0,46.4175,-1.8191666666666666,2020-11-08,time for oceans,92.0,"hugo boss, energa, compagnie du lit-boulogne billancourt",finot-conq design,neville hutton,18.28,5.84,4.5,8.5,28.0,monotype,300.0,foils,2007
12,13,15:30,241°,357°,195°,FRA,49,Romain Attanasio,pure - best western hotels and resorts,2020-11-08 14:00:00,24294.9,1.1,5.1,0.2,0.2,2788.8,0.0,0.0,0.2,11.6,11.6,46.421,-1.8215,2020-11-08,pure - best western®,49.0,"gitana eighty, synerciel, newrest-matmut",bruce farr design,southern ocean marine (nouvelle zélande),18.28,5.8,4.5,9.0,28.0,acier,280.0,no foils,2007
